PROVINCE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region I - Ilocos Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEYTE, 328 , 334 , 384 , 387 , 418 , 498 , 465 , 386 , 480 , 408 , 311 , 346 , 413 , 365 , 522 , 458 , 638 , 623 , 881 , 840 , 803 , 813 , 827 , 739 , 840 , 817 , 786 , 944 , 915 , 749 , 751 , 783 , 180 
NORTHERN SAMAR, 47 , 26 , 30 , 63 , 42 , 53 , 21 , 33 , 29 , 23 , 27 , 39 , 31 , 25 , 45 , 29 , 33 , 25 , 66 , 49 , 51 , 52 , 59 , 67 , 81 , 56 , 78 , 91 , 98 , 66 , 64 , 69 , 16 
SAMAR (WESTERN SAMAR), 64 , 68 , 65 , 64 , 110 , 98 , 73 , 68 , 60 , 90 , 63 , 74 , 67 , 69 , 86 , 65 , 75 , 85 , 95 , 135 , 124 , 139 , 161 , 171 , 151 , 180 , 169 , 153 , 156 , 180 , 153 , 140 , 28 
SOUTHERN LEYTE, 55 , 50 , 74 , 56 , 56 , 99 , 62 , 80 , 40 , 79 , 74 , 46 , 64 , 69 , 86 , 111 , 101 , 97 , 126 , 156 , 135 , 166 , 142 , 135 , 137 , 132 , 165 , 207 , 241 , 177 , 199 , 183 , 38 
Sub-Total Eastern Visayas, 558 , 536 , 605 , 643 , 710 , 830 , 698 , 626 , 694 , 677 , 532 , 567 , 627 , 587 , 798 , 713 , 940 , 907 ," 1,253 "," 1,304 "," 1,241 "," 1,331 "," 1,355 "," 1,301 "," 1,462 "," 1,399 "," 1,435 "," 1,621 "," 1,621 "," 1,407 "," 1,352 "," 1,373 ", 301 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region IX - Zamboanga Peninsula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAMBOANGA DEL NORTE, 62 , 43 , 88 , 89 , 128 , 154 , 120 , 131 , 170 , 147 , 99 , 125 , 152 , 153 , 181 , 154 , 172 , 176 , 255 , 278 , 263 , 298 , 262 , 324 , 370 , 320 , 302 , 358 , 364 , 335 , 365 , 272 , 63 
ZAMBOANGA DEL SUR, 129 , 137 , 149 , 164 , 172 , 213 , 282 , 128 , 183 , 197 , 132 , 170 , 213 , 212 , 334 , 334 , 385 , 394 , 710 , 477 , 379 , 431 , 364 , 501 , 502 , 440 , 444 , 557 , 523 , 416 , 447 , 442 , 120 
ZAMBOANGA SIBUGAY, 13 , 2 , 6 , 5 , 12 , 15 , 19 , 8 , 23 , 19 , 13 , 12 , 9 , 12 , 14 , 18 , 18 , 37 , 45 , 36 , 34 , 47 , 39 , 48 , 81 , 45 , 69 , 68 , 74 , 78 , 59 , 58 , 13 
